vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
lad2,diseased,2.80078125,1482,-73.38937112403462,-74.80417931405667,-51.88386642369825,-53.64398779946522,32.71201003610652
lad2,diseased,3.15234375,1568,-74.26352616490759,-75.78224763873591,-53.46116751789742,-55.39107494678343,45.80029460125595
lad2,diseased,3.50390625,1655,-75.90033797886437,-75.58903712986044,-55.63678256042774,-55.97300687125237,62.26482691967106
lad2,diseased,3.85546875,1738,-77.90986192761412,-77.42378872126628,-58.49456008905234,-59.049995143938965,80.43312468051111
lad2,diseased,4.20703125,1835,-79.69681465710217,-79.57363688549763,-61.40142384345265,-62.481172543332384,98.36250218206341
lad2,diseased,4.55859375,1932,-82.35914199840948,-78.89514490437016,-65.3377010071762,-63.22965938430137,115.26375352764072
lad2,diseased,4.91015625,2035,-87.56598331055419,-78.444085332089,-71.91345127905909,-64.04136385738923,130.972937175448
lad2,diseased,5.26171875,2133,-96.20140250345044,-83.66561153621726,-81.83607942980889,-70.54527199547294,148.31141622677242
lad2,diseased,5.61328125,2234,-109.60855925578088,-96.73353606129803,-95.61913241846895,-84.72568109232714,178.36913170700882
lad2,diseased,5.96484375,2338,-127.97855856073933,-120.76149996277091,-112.74537872495664,-110.05250471729062,224.9937859159943
lad2,diseased,6.31640625,2445,-149.95009667722238,-143.71243019746836,-131.26010113125687,-134.32079429564868,279.0014314173371
lad2,diseased,6.66796875,2554,-173.39862546289723,-163.22388289386578,-149.49772167602552,-154.84509585916933,333.40882141957326
lad2,diseased,7.01953125,2676,-193.20796733087846,-171.58112220059726,-164.37368807045155,-163.90789195152448,376.34280264234127
lad2,diseased,7.37109375,2807,-210.1898942055505,-172.50272459591142,-176.07678396832085,-165.56940037429823,414.07774508584396
lad2,diseased,7.72265625,2930,-226.81024482239533,-174.03157712615294,-186.73057916848936,-167.59002441855674,449.78487521772337
lad2,diseased,8.07421875,3039,-244.59345821606246,-173.43047014754325,-197.51060456873046,-167.4796272439969,485.39140440841135
lad2,diseased,8.42578125,3146,-258.6908073657194,-173.52333655325455,-205.6883296410672,-168.01777292275605,512.271870853187
lad2,diseased,8.77734375,3260,-271.7914264033177,-175.1401928388985,-213.04505255838478,-170.18470332368983,536.1473813786969
lad3,diseased,-0.71484375,40,10.892547369003296,53.85278004748627,24.246205538511276,49.11825748670919,16.007096459667483
lad3,diseased,-0.36328125,59,5.633242683895563,48.37744048931582,14.86063773955329,44.77656614751589,25.730050981842943
lad3,diseased,0.33984375,67,-0.430981701879359,-11.892298347067795,7.816221658863238,-2.1352843479458716,36.230267429831486
lad3,diseased,0.69140625,71,-4.5431382421036846,-16.457897127667852,3.350645226492009,-6.182009048574388,44.73999591620465
lad3,diseased,1.04296875,78,-6.504778574674558,-12.380273662420846,1.9911403946387463,-3.3052575677201625,48.791371352787515
lad3,diseased,1.39453125,86,-9.45869997490284,-6.808574933672027,1.2506391558536263,1.0659310213237596,50.7659463680854
lad3,diseased,1.74609375,94,-11.502484179557637,-2.3868134326221204,0.6534840705546927,4.499355733879706,52.786247591577215
lad3,diseased,2.09765625,102,-11.688476408229155,-4.31050923587296,0.43745459528530345,2.5610927166343744,57.04149788371311
lad3,diseased,2.44921875,110,-11.656244750456377,-5.7481379617376,-0.08213662667707963,1.2553275288309829,61.28439962900484
lad3,diseased,2.80078125,118,-11.963832083394973,-8.628897172429738,-1.1219378770407984,-1.1295580055749188,62.79803221916541
lad3,diseased,3.15234375,126,-12.663173866650414,-8.807121870504055,-2.167988835819184,-1.2771043547226406,63.69098440063899
lad3,diseased,3.50390625,134,-13.694278781093768,-8.964066007614273,-3.2957662975610194,-1.4070332293452614,63.44866467123373
lad3,diseased,3.85546875,142,-16.285876200232707,-9.103326298289538,-4.7238338363002725,-1.522322230770967,64.15035198328759
lad3,diseased,4.20703125,150,-18.37029121398926,-10.209156162022012,-6.017027215957642,-2.4378023013513848,65.67461224060789
lad3,diseased,4.55859375,158,-19.100089694880232,-13.06646655359659,-7.173496404780617,-4.803275331822622,67.52822537806325
lad3,diseased,4.91015625,166,-20.562659289463458,-13.874715695267762,-8.299117665692984,-5.472398137718101,69.56272700282622
lad3,diseased,5.26171875,174,-21.595855512838256,-14.608643076785263,-9.364532948225394,-6.079992409738133,71.40970538111216
lad3,diseased,5.61328125,182,-22.706678740270846,-15.278049369817712,-10.533113983961252,-6.634171800701449,73.59363915445498
lad3,diseased,5.96484375,190,-23.770548845592298,-16.66589303085471,-11.562313842773438,-7.783121792404786,74.27954454514465
lad3,diseased,6.31640625,198,-25.16778961094943,-17.198084675800914,-12.5665982058554,-8.223705701970394,73.97999115329367
lad3,diseased,6.66796875,206,-27.21604166794749,-17.688941047353236,-14.168418062254062,-8.630069502055179,73.66769607808918
lad3,diseased,7.01953125,214,-29.96105557735835,-18.831011898646437,-16.918529175152287,-9.575552290900054,76.60096179983779
lad3,diseased,7.37109375,222,-34.40472701379845,-19.890771337233822,-21.827919199391527,-10.452892176044397,84.13730576672117
lad3,diseased,7.72265625,230,-42.083346752498464,-20.236749247009104,-29.761172625292904,-10.739315876152542,99.42344718261154
lad3,diseased,8.07421875,238,-52.215522681965545,-47.974222678558895,-40.64637754093699,-39.35185720231169,123.2922120349149
lad3,diseased,8.42578125,246,-63.413086008250225,-56.3587100922797,-52.7167382569817,-47.74913340779337,150.20835963286612
lad3,diseased,8.77734375,254,-75.18976442269452,-70.58835653828599,-64.958442192378,-62.481821656039074,175.16241951422182
lcx,healthy,-2.12109375,143,43.86070496885927,56.143879578919226,39.965201151120915,50.9349935789958,15.379885342952221
lcx,healthy,-1.76953125,368,41.21671221826387,56.14387957891929,37.56439798422482,50.934993578995694,14.17278721810764
lcx,healthy,-1.41796875,540,35.095617085916025,56.04690182097467,33.81385261085298,50.85809469678205,14.962235922595047
lcx,healthy,-1.06640625,687,25.675185756391834,55.36255222779637,26.706726208003847,50.31543708256135,16.011790315974576
lcx,healthy,-0.71484375,843,9.255034441731578,50.97230768285328,14.54240094293196,46.83417596346279,16.11213951887096
lcx,healthy,-0.36328125,1085,-12.836705082682421,43.59486832051142,-2.48007885179212,40.98420734606302,17.71381812601345
lcx,healthy,0.33984375,1185,-33.55831695840329,-72.3974010548162,-18.67228595863415,-50.110447354223524,19.50998426777797
lcx,healthy,0.69140625,1227,-48.842385708557075,-70.06662479583629,-30.563370150235386,-48.25733783890124,22.119777263700225
lcx,healthy,1.04296875,1314,-56.87002570698069,-68.02987261411633,-36.83200803993318,-46.649647943451846,25.249648839456277
lcx,healthy,1.39453125,1413,-59.997109509830516,-65.32411172738772,-39.29112838888877,-44.542586078789796,29.274805315657957
lcx,healthy,1.74609375,1509,-59.95756253063916,-61.38085669088971,-39.20493555870808,-41.528997358258195,33.935267507665934
lcx,healthy,2.09765625,1602,-58.89571583285909,-58.78048086856476,-38.376844336031084,-39.62856267596479,38.01761728226227
lcx,healthy,2.44921875,1697,-57.42542451897578,-57.693346419798196,-37.36620063411536,-38.98324030933912,41.34679992613864
lcx,healthy,2.80078125,1785,-56.194876624422584,-55.62163206105619,-36.52409689032397,-37.6644423669606,44.694751935892576
lcx,healthy,3.15234375,1879,-54.463859863139135,-54.30385727553679,-35.38381379554093,-36.83565317114309,47.74195250288384
lcx,healthy,3.50390625,1974,-53.107569917870386,-52.168534132629716,-34.34194317155092,-35.27020378311985,50.691928941631595
lcx,healthy,3.85546875,2065,-51.77227097660231,-49.45760254217852,-33.258985263989565,-33.29143612110286,53.08984849950888
lcx,healthy,4.20703125,2157,-49.96755184472906,-47.67315430583359,-32.09227120696697,-32.05366599957891,55.51271229635478
lcx,healthy,4.55859375,2251,-47.47015971620578,-45.237407854767845,-30.741239372503486,-30.27259454393282,57.559055250095135
lcx,healthy,4.91015625,2348,-45.165019920067245,-42.81738336539054,-29.157955154992347,-28.483524446311076,59.23305323367824
lcx,healthy,5.26171875,2443,-42.804249060920064,-39.10349426586694,-27.45707034791438,-25.553965810503446,61.152502989752094
lcx,healthy,5.61328125,2538,-40.63758640321246,-36.30514627212094,-25.745690557738754,-23.352470187868793,62.99798555069185
lcx,healthy,5.96484375,2634,-38.90624226999717,-32.96006689385219,-24.261368416255408,-20.73014363933733,64.41606867015851
lcx,healthy,6.31640625,2731,-37.02605983674941,-30.3855918884094,-22.97245574116445,-18.757192933436805,65.98046730696254
lcx,healthy,6.66796875,2823,-35.17961837136488,-28.689470524495817,-21.97205738413431,-17.47636668006571,67.81859957405855
lcx,healthy,7.01953125,2919,-34.01944090972702,-27.301453875870884,-21.426520821788042,-16.424064084464685,69.22220870395795
lcx,healthy,7.37109375,3014,-33.43582129747407,-26.00443137626319,-21.217153599731716,-15.40485335744527,71.08218396381267
lcx,healthy,7.72265625,3110,-33.57492678075358,-25.310952962610365,-21.609166450956625,-14.880999164517357,73.84489795839981
lcx,healthy,8.07421875,3212,-34.810123610207036,-24.412174998307396,-23.097826453438433,-14.180163203976681,77.9918416060205
lcx,healthy,8.42578125,3313,-37.946170666553876,-24.300257336052198,-26.240534448134298,-14.208456080439777,85.48943318632494
lcx,healthy,8.77734375,3412,-43.012926696621726,-27.136714112611934,-31.467780568081217,-17.418708649090988,98.51068671219132
