vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
lad2,diseased,0.69140625,950,-48.53774878627375,-68.5070606286249,-30.445344677724336,-46.59183014650625,13.873174132436157
lad2,diseased,1.04296875,1012,-57.085639207966246,-68.71520404323725,-37.03113553299028,-46.770107102572474,15.295788284615044
lad2,diseased,1.39453125,1053,-61.41449818561333,-69.47056239797439,-40.0586059987828,-47.41707923221106,16.661201000582466
lad2,diseased,1.74609375,1052,-64.58979176296481,-69.42389573226023,-41.97999089146068,-47.39103429351893,17.205594746449833
lad2,diseased,2.09765625,1048,-65.61580753917913,-67.81431649217475,-42.73386882052167,-46.132636529113064,19.055387408007267
lad2,diseased,2.44921875,1035,-65.25905395268242,-65.6143834194289,-42.86105018013341,-44.41536757234304,24.30282750169702
lad2,diseased,2.80078125,947,-63.277411470821065,-58.58221406979276,-41.96860255724273,-38.858048395632906,33.922212332647455
lad2,diseased,3.15234375,926,-61.513672609823566,-56.54597616831851,-41.319780782412245,-38.492024010289036,48.43773215789727
lad2,diseased,3.50390625,949,-63.14945419721533,-54.795322163673106,-44.26459966658039,-38.29202537793055,73.2028826303512
lad2,diseased,3.85546875,938,-64.41817568868463,-55.16460688409284,-47.96160276752037,-41.43045631159924,102.90893372764147
lad2,diseased,4.20703125,956,-66.82400961301317,-57.56704446251577,-53.098423467645084,-46.660387709213325,131.62757148590228
lad2,diseased,4.55859375,1008,-69.31921925005459,-56.340961867078995,-58.34004359840164,-48.156404358926046,156.20195005604575
lad2,diseased,4.91015625,1085,-75.81890787583892,-56.50925423354495,-66.902869584044,-50.362921579737886,175.45183417877297
lad2,diseased,5.26171875,1192,-87.88715544015469,-68.01202592671595,-80.59975647718814,-63.35036152246136,193.19662623612882
lad2,diseased,5.61328125,1301,-107.08127301917636,-91.88482584240505,-99.85713967985598,-88.36111026804431,228.00735390095602
lad2,diseased,5.96484375,1425,-135.50233771575125,-131.82780673844036,-125.44969950550481,-129.53015287765817,282.53422911415237
lad2,diseased,6.31640625,1569,-169.2393832069966,-166.17114967751974,-153.07399276064186,-164.84488349062508,342.6999242567347
lad2,diseased,6.66796875,1702,-203.88967203253443,-193.12946058794182,-179.56598571317596,-192.48858405659908,401.9720981927672
lad2,diseased,7.01953125,1825,-231.73098106305892,-203.33732353518786,-200.19264289646932,-203.20049564300786,448.17686461010504
lad2,diseased,7.37109375,1968,-251.52419928503716,-201.93016445412277,-213.30261259653219,-202.20221859216306,484.75912619108703
lad2,diseased,7.72265625,2087,-273.8951908192911,-202.53253305670043,-226.94437594932407,-203.11566399530437,523.9171936000441
lad2,diseased,8.07421875,2204,-293.99363452544986,-199.9353612033714,-238.0088548604568,-200.75869939204273,558.9918972438364
lad2,diseased,8.42578125,2321,-309.8640646580117,-198.42412594636093,-246.6385699517765,-199.43220481517943,583.854358341091
lad2,diseased,8.77734375,2456,-323.44669983534794,-198.60313686754347,-253.5334751115754,-199.82640209539022,605.3036561831432
lad3,diseased,-0.71484375,40,12.948021471500397,53.85278004748627,26.259942525625227,49.11825748670919,14.62116599696833
lad3,diseased,-0.36328125,59,8.420215243000095,48.37744048931582,17.553414318521146,44.77656614751589,23.61574133023002
lad3,diseased,0.33984375,63,5.8741607666015625,-6.131380245267439,12.703047540925798,2.7642247370279427,32.15662579524645
lad3,diseased,0.69140625,61,7.611546266274374,-2.245682123025438,12.266668065649565,5.838864221575971,37.988269089228496
lad3,diseased,1.04296875,62,11.000515568640925,11.092428038374324,15.707551402430381,16.38767532085124,38.99392790746755
lad3,diseased,1.39453125,68,9.846640327397514,18.76406796396932,17.328042750849445,22.447720743787812,38.979441227925065
lad3,diseased,1.74609375,73,10.919421738141203,26.680089484564014,19.88196263901175,28.715843901480827,37.419648206333896
lad3,diseased,2.09765625,71,23.421605882510335,38.972433556826125,29.252164343713034,38.450120021025846,25.74055801582276
lad3,diseased,2.44921875,73,31.019127238286686,43.769164061419346,33.6486930847168,42.24906864385533,16.392033499686033
lad3,diseased,2.80078125,76,33.399338728503174,43.769164061419346,35.116316925538214,42.24906864385534,13.606269568569543
lad3,diseased,3.15234375,81,32.80321283104979,43.769164061419346,35.13667987894129,42.249068643855345,17.117146923012676
lad3,diseased,3.50390625,86,31.773968563523404,43.76916406141935,34.72366489227428,42.24906864385535,19.61197916999388
lad3,diseased,3.85546875,91,30.245989071143853,43.76916406141935,34.198566012330105,42.24906864385536,20.835543908584448
lad3,diseased,4.20703125,95,30.257358330174497,43.76916406141935,34.41145798532586,42.24906864385537,21.087546197255865
lad3,diseased,4.55859375,97,33.31889199227402,43.76916406141935,35.53867466179366,42.24906864385537,17.41345553433866
lad3,diseased,4.91015625,101,33.96010978623192,43.76916406141935,35.631433722996476,42.24906864385535,17.246093574171887
lad3,diseased,5.26171875,105,34.99717421304612,43.76916406141935,35.59092573438372,42.24906864385534,17.574431047519838
lad3,diseased,5.61328125,109,36.1052351675996,43.76916406141935,35.57830538880934,42.249068643855324,17.667428694486844
lad3,diseased,5.96484375,112,36.378529029233114,43.76916406141935,35.91746638076646,42.24906864385532,17.7255085881916
lad3,diseased,6.31640625,116,34.88379785932344,43.76916406141935,36.10667167963653,42.24906864385531,18.832746895669146
